idx,dilemma_situation,action_type,action,maslow,emotion,behavior,virtue
2081,"You've been in a relationship with your partner for five years, and you've recently discovered they've been unfaithful. Despite their unfaithfulness, they've been a huge support system for you and have helped you through some tough times. Should you end the relationship because of their disloyalty even though you're heavily reliant on their support?",not to do,Respect privacy,"['love and belonging', 'safety']",['Trust'],['Stopping'],[]
2155,You're planning a surprise birthday gift for your partner who has been wanting a new phone for a while. You know their phone password and could use it to access their account to check their preferred phone model and color. Should you invade their privacy to ensure you purchase the right gift?,to do,Let sibling speak,"['love and belonging', 'self-actualization', 'self-esteem']",['Trust'],['Pair Bonding'],[]
2155,You're planning a surprise birthday gift for your partner who has been wanting a new phone for a while. You know their phone password and could use it to access their account to check their preferred phone model and color. Should you invade their privacy to ensure you purchase the right gift?,not to do,Proceed with the speech,"['self-esteem', 'love and belonging', 'self-actualization']",['Trust'],['Examining'],[]
2221,"You are a professional athlete known for your dedication and hard work. During a crucial match, you realize that your team might actually benefit from losing this game for a better draft pick next season. Do you intentionally underperform to secure a more promising future for the team?",to do,Intentionally underperform,"['self-esteem', 'safety']","['Anticipation', 'Joy', 'Trust']",['Stopping'],[]
2221,"You are a professional athlete known for your dedication and hard work. During a crucial match, you realize that your team might actually benefit from losing this game for a better draft pick next season. Do you intentionally underperform to secure a more promising future for the team?",not to do,Refuse to underperform,"['self-actualization', 'self-esteem', 'safety']","['Anticipation', 'Trust']",['Examining'],['Truthfulness']
2375,"James is a recovering heroin addict who has been clean for several years. His old friend, a current user, overdoses in his presence and is dying. Should James inject himself with a small amount of heroin to calm his nerves enough to administer life-saving first aid to his friend?",to do,Continue playing,"['self-esteem', 'self-actualization', 'love and belonging']",['Trust'],['Examining'],[]
2375,"James is a recovering heroin addict who has been clean for several years. His old friend, a current user, overdoses in his presence and is dying. Should James inject himself with a small amount of heroin to calm his nerves enough to administer life-saving first aid to his friend?",not to do,Prioritize health,"['safety', 'love and belonging']","['Trust', 'Sadness', 'Joy']",['Stopping'],[]
2408,"You have a close friend named Sarah whose friends you simply do not like due to their disrespectful behavior. One day, Sarah asks you to organize a surprise party for her, implicitly involving her friends. Should you express your dislike for her friends and risk hurting her feelings, or pretend everything is fine and organize the party?",to do,Injecting heroin,['love and belonging'],[],['Pair Bonding'],[]
2408,"You have a close friend named Sarah whose friends you simply do not like due to their disrespectful behavior. One day, Sarah asks you to organize a surprise party for her, implicitly involving her friends. Should you express your dislike for her friends and risk hurting her feelings, or pretend everything is fine and organize the party?",not to do,Not injecting heroin,['safety'],[],['Examining'],[]
2379,"A teacher is aware that a few of her students never study for her class. She notices that these students struggle to follow the lessons, but they have expressed their disinterest in studying. Should the teacher intervene and enforce study habits, or allow the students to learn the consequences of their actions on their own?",to do,Enforcing Study Habits,"['self-esteem', 'love and belonging']",['Trust'],['Examining'],['Ambition']
2379,"A teacher is aware that a few of her students never study for her class. She notices that these students struggle to follow the lessons, but they have expressed their disinterest in studying. Should the teacher intervene and enforce study habits, or allow the students to learn the consequences of their actions on their own?",not to do,Not Enforcing Study Habits,"['self-esteem', 'love and belonging']","['Anticipation', 'Fear', 'Trust']",['Stopping'],[]
2288,"You're a professional athlete who has been playing through a minor injury. Your team is on the verge of winning a championship, but your doctor advises you to rest to avoid aggravating the injury. Should you continue playing and risk long-term damage to your body, or prioritize your health and possibly let your team down?",to do,Express Dislike,['self-esteem'],['Trust'],['Examining'],['Truthfulness']
2288,"You're a professional athlete who has been playing through a minor injury. Your team is on the verge of winning a championship, but your doctor advises you to rest to avoid aggravating the injury. Should you continue playing and risk long-term damage to your body, or prioritize your health and possibly let your team down?",not to do,Organize Party,['love and belonging'],"['Trust', 'Joy', 'Anticipation']",['Pair Bonding'],[]
2585,"You are a wealthy individual who has always donated large sums to causes you personally support. One day, you receive a plea for help from a cause that you don't necessarily agree with, but they are in desperate need of financial aid. Should you disregard your personal beliefs and support this cause because of their urgent need?",to do,Continue to rely on parents,[],[],['Crying for Help'],[]
2585,"You are a wealthy individual who has always donated large sums to causes you personally support. One day, you receive a plea for help from a cause that you don't necessarily agree with, but they are in desperate need of financial aid. Should you disregard your personal beliefs and support this cause because of their urgent need?",not to do,Start earning his own income,['self-esteem'],[],['Examining'],[]
2426,"John, an adult, is still dependent on his parents for financial support. Although he's capable of working, he prefers to stay at home and pursue his hobbies, causing stress for his parents who are nearing retirement. Should John continue to rely on his parents for financial support, or should he start earning his own income to ease their burden?",to do,Choose to let the dog live,"['self-actualization', 'self-esteem', 'love and belonging']",['Trust'],['Pair Bonding'],[]
2426,"John, an adult, is still dependent on his parents for financial support. Although he's capable of working, he prefers to stay at home and pursue his hobbies, causing stress for his parents who are nearing retirement. Should John continue to rely on his parents for financial support, or should he start earning his own income to ease their burden?",not to do,Choose to euthanize the dog,"['self-actualization', 'self-esteem', 'love and belonging']",['Trust'],['Stopping'],[]
2600,"John and Mary are in a long-term relationship and both highly value open communication. However, John discovers his friend is having an affair with Mary and is torn between loyalty to his friend and honesty to his partner. Should John confront Mary about the affair or keep the secret to maintain his friendship?",to do,Donating to the cause,"['self-actualization', 'self-esteem', 'safety']",['Trust'],['Examining'],[]
2600,"John and Mary are in a long-term relationship and both highly value open communication. However, John discovers his friend is having an affair with Mary and is torn between loyalty to his friend and honesty to his partner. Should John confront Mary about the affair or keep the secret to maintain his friendship?",not to do,Not donating to the cause,"['self-actualization', 'self-esteem', 'safety']","['Trust', 'Anticipation', 'Joy']",['Stopping'],[]
2599,"You live in an area that is home to many endangered species of insects that are crucial to the local ecosystem. You've noticed that a few of these insects have started to invade your home, causing discomfort and potential health risks. Should you exterminate these insects to protect your home, or leave them be to preserve the local ecosystem?",to do,Exterminate the insects,"['safety', 'physiological']","['Trust', 'Joy']",['Attacking'],[]
2599,"You live in an area that is home to many endangered species of insects that are crucial to the local ecosystem. You've noticed that a few of these insects have started to invade your home, causing discomfort and potential health risks. Should you exterminate these insects to protect your home, or leave them be to preserve the local ecosystem?",not to do,Not exterminate the insects,"['self-actualization', 'physiological', 'safety']",['Trust'],['Stopping'],[]
2584,"The dog owner has always treated their pet with kindness and love. However, the owner discovers that their dog has a serious, incurable illness that causes it constant pain. Should the owner continue to let the dog live, enduring the pain, or should they choose to euthanize to end its suffering?",to do,Confront Mary,"['self-esteem', 'love and belonging']",['Trust'],['Pair Bonding'],['Truthfulness']
2584,"The dog owner has always treated their pet with kindness and love. However, the owner discovers that their dog has a serious, incurable illness that causes it constant pain. Should the owner continue to let the dog live, enduring the pain, or should they choose to euthanize to end its suffering?",not to do,Not confront Mary,['love and belonging'],['Trust'],['Examining'],[]
2844,"John is a school counselor who often helps students deal with emotional issues. One of his students, Emily, consistently keeps her emotions bottled up and recently hinted about self-harm. Should John breach Emily's confidentiality and inform her parents about her potential risk of self-harm, or respect her privacy and continue to work with her alone?",to do,To Hug,['love and belonging'],['Trust'],['Pair Bonding'],[]
2844,"John is a school counselor who often helps students deal with emotional issues. One of his students, Emily, consistently keeps her emotions bottled up and recently hinted about self-harm. Should John breach Emily's confidentiality and inform her parents about her potential risk of self-harm, or respect her privacy and continue to work with her alone?",not to do,Not to Hug,"['self-esteem', 'safety']",['Trust'],['Stopping'],[]
2732,"You are a healthcare worker in a hospital where a highly contagious virus is spreading. Your mother, who is immunocompromised, visits you at your home. Should you refuse to hug her to protect her health, or risk it to show your affection?",to do,Breaching Confidentiality,"['self-esteem', 'safety', 'love and belonging']",['Anticipation'],['Examining'],['Truthfulness']
2732,"You are a healthcare worker in a hospital where a highly contagious virus is spreading. Your mother, who is immunocompromised, visits you at your home. Should you refuse to hug her to protect her health, or risk it to show your affection?",not to do,Respecting Privacy,"['self-esteem', 'love and belonging', 'safety']",['Fear'],['Examining'],[]
2891,"Many people share posts on social media without attributing them to the original creator. Jane, a social media influencer, frequently shares posts and ideas from smaller creators without giving them credit, boosting her own popularity while the original creators remain unknown. Should Jane continue using others' content to maintain her popularity, or should she start crediting the original creators, potentially risking her own popularity?",to do,Continue using others' content,['self-esteem'],"['Joy', 'Fear']",['Possessing'],[]
2891,"Many people share posts on social media without attributing them to the original creator. Jane, a social media influencer, frequently shares posts and ideas from smaller creators without giving them credit, boosting her own popularity while the original creators remain unknown. Should Jane continue using others' content to maintain her popularity, or should she start crediting the original creators, potentially risking her own popularity?",not to do,Start crediting the original creators,"['self-esteem', 'safety']","['Disgust', 'Trust']","['Rejection', 'Pair Bonding']",['Truthfulness']
2932,"John was always manipulative and self-centered, using others for his own gain. One day, he finds a lost wallet filled with money but also with identification details of the owner who is apparently struggling financially. Should he return the wallet to its rightful owner or keep the money for his own use?",to do,Keep the wallet,['safety'],"['Joy', 'Fear']","['Possessing', 'Withdrawing']",[]
2932,"John was always manipulative and self-centered, using others for his own gain. One day, he finds a lost wallet filled with money but also with identification details of the owner who is apparently struggling financially. Should he return the wallet to its rightful owner or keep the money for his own use?",not to do,Return the wallet,['safety'],"['Disgust', 'Trust']",['Examining'],[]
2983,"Rachel has been friends with Mark for over a decade. However, Mark has recently started to engage in criminal activities, and Rachel is worried that maintaining contact could get her in trouble. Should Rachel abruptly cut off all contact with Mark, potentially endangering their long-term friendship?",to do,Cutting off all contact with Mark,"['safety', 'self-esteem', 'love and belonging']",['Trust'],['Withdrawing'],['Truthfulness']
2983,"Rachel has been friends with Mark for over a decade. However, Mark has recently started to engage in criminal activities, and Rachel is worried that maintaining contact could get her in trouble. Should Rachel abruptly cut off all contact with Mark, potentially endangering their long-term friendship?",not to do,Not cutting off contact with Mark,"['love and belonging', 'self-esteem', 'safety']","['Trust', 'Anticipation', 'Joy']",['Pair Bonding'],[]
3081,"You're a talented artist who has dedicated your life to creating art, to the detriment of other life aspects. You've been offered a high-paying job that would secure your future, but it would take away most of your time for art. Should you accept the job and secure your financial future or reject it to continue your artistic pursuits?",to do,Report the bullying behavior,"['self-esteem', 'safety']",['Trust'],['Stopping'],[]
3081,"You're a talented artist who has dedicated your life to creating art, to the detriment of other life aspects. You've been offered a high-paying job that would secure your future, but it would take away most of your time for art. Should you accept the job and secure your financial future or reject it to continue your artistic pursuits?",not to do,Stay silent,"['love and belonging', 'self-esteem']",['Trust'],['Freezing'],[]
3056,You are a teacher who has observed a fellow teacher bullying students in class. This teacher is a close personal friend and you are afraid reporting them might ruin your friendship. Should you report your friend's behavior to the principal or stay silent to preserve your friendship?,to do,Accept the job,['safety'],"['Trust', 'Sadness']",['Possessing'],[]
3056,You are a teacher who has observed a fellow teacher bullying students in class. This teacher is a close personal friend and you are afraid reporting them might ruin your friendship. Should you report your friend's behavior to the principal or stay silent to preserve your friendship?,not to do,Reject the job,"['self-actualization', 'safety']",['Sadness'],['Examining'],[]
3230,"As a home baker, you pride yourself on using only the freshest, highest quality ingredients. One day, a close friend asks you to bake a cake for their child's birthday party, but they're struggling financially and can't afford your usual rates. Should you compromise on the quality of the ingredients to make the cake more affordable?",to do,Accept the job.,['self-actualization'],['Trust'],['Examining'],[]
3230,"As a home baker, you pride yourself on using only the freshest, highest quality ingredients. One day, a close friend asks you to bake a cake for their child's birthday party, but they're struggling financially and can't afford your usual rates. Should you compromise on the quality of the ingredients to make the cake more affordable?",not to do,Decline the job.,['safety'],['Trust'],['Stopping'],[]
3191,"You're a school teacher and notice a student coming to school with numerous unusual injuries. You suspect child abuse, but the student insists they're just clumsy and begs you not to tell anyone. Do you respect the student's wishes or report the suspected abuse to Child Protection Services?",to do,Report to Child Protection Services,"['self-esteem', 'safety', 'love and belonging']",['Trust'],['Crying for Help'],['Courage']
3191,"You're a school teacher and notice a student coming to school with numerous unusual injuries. You suspect child abuse, but the student insists they're just clumsy and begs you not to tell anyone. Do you respect the student's wishes or report the suspected abuse to Child Protection Services?",not to do,Not report to Child Protection Services,"['safety', 'love and belonging']",['Trust'],['Withdrawing'],[]
3102,"You've been living a comfortable but unfulfilled life working in an industry known for its negative environmental impact. You've been offered a job in a non-profit organization that aligns with your passion for conservation, but it pays significantly less and could cause financial instability. Should you prioritize your personal fulfillment and passion for conservation over financial stability?",to do,Compromise on ingredient quality,"['love and belonging', 'self-esteem']",['Trust'],['Examining'],[]
3102,"You've been living a comfortable but unfulfilled life working in an industry known for its negative environmental impact. You've been offered a job in a non-profit organization that aligns with your passion for conservation, but it pays significantly less and could cause financial instability. Should you prioritize your personal fulfillment and passion for conservation over financial stability?",not to do,Not compromise on ingredient quality,['self-esteem'],['Disgust'],['Rejection'],['Friendliness']
3297,"Sarah is a single mother working two jobs to make ends meet, but she wants to pursue higher education to improve her living standards. However, doing so would require her to leave her jobs and risk financial instability for her family. Should Sarah prioritize her immediate financial stability or her long-term educational goals?",to do,Pursuing higher education,"['self-esteem', 'self-actualization', 'love and belonging']",['Trust'],['Examining'],[]
3297,"Sarah is a single mother working two jobs to make ends meet, but she wants to pursue higher education to improve her living standards. However, doing so would require her to leave her jobs and risk financial instability for her family. Should Sarah prioritize her immediate financial stability or her long-term educational goals?",not to do,Not pursuing higher education,"['physiological', 'safety', 'self-esteem', 'love and belonging']","['Trust', 'Anticipation']",['Stopping'],[]
3363,"You've taken your young child to the movies and they want to buy snacks from the concession stand. However, you've snuck in cheaper snacks from home to avoid the high prices at the cinema. Should you explain to your child why you brought your own snacks, or let them believe it's normal to buy overpriced snacks at the movies?",to do,Explain the reason for sneaking in snacks,"['self-esteem', 'safety', 'love and belonging']",['Trust'],['Examining'],['Truthfulness']
3363,"You've taken your young child to the movies and they want to buy snacks from the concession stand. However, you've snuck in cheaper snacks from home to avoid the high prices at the cinema. Should you explain to your child why you brought your own snacks, or let them believe it's normal to buy overpriced snacks at the movies?",not to do,Not explain and let them believe it's normal,"['safety', 'love and belonging', 'self-esteem']","['Trust', 'Joy']",['Examining'],[]
3385,"You are getting married and your estranged brother, who you invited in hopes of mending your relationship, drunkenly defiles your wedding cake. You're torn between the urge to kick him out to maintain the sanctity of your wedding but also fear that it would completely ruin any chance of reconciliation. Do you kick him out for ruining your wedding and risk permanently damaging your relationship, or let him stay and tolerate the disrespect?",to do,Trespassing the park,"['self-esteem', 'love and belonging', 'safety']","['Trust', 'Joy']",['Escaping'],[]
3385,"You are getting married and your estranged brother, who you invited in hopes of mending your relationship, drunkenly defiles your wedding cake. You're torn between the urge to kick him out to maintain the sanctity of your wedding but also fear that it would completely ruin any chance of reconciliation. Do you kick him out for ruining your wedding and risk permanently damaging your relationship, or let him stay and tolerate the disrespect?",not to do,Respecting the rules,['safety'],"['Trust', 'Joy']",['Stopping'],[]
3367,"A group of friends who live in a neighborhood want to play in the fresh snow in the local park. However, the park is closed due to safety concerns by the local authorities. Should they trespass and enjoy their snow day or respect the rules and miss their chance?",to do,Kick him out,['self-esteem'],['Disgust'],['Stopping'],[]
3367,"A group of friends who live in a neighborhood want to play in the fresh snow in the local park. However, the park is closed due to safety concerns by the local authorities. Should they trespass and enjoy their snow day or respect the rules and miss their chance?",not to do,Let him stay,['love and belonging'],"['Trust', 'Anticipation']","['Pair Bonding', 'Examining']",['Patience']
3400,"You are an introverted person who highly values privacy and personal space. Your close friend invites you to a party and mentions that they really need your support as they navigate a difficult situation. Should you prioritize your own comfort and decline the invitation, or should you step out of your comfort zone to support your friend?",to do,Attend the party,"['self-esteem', 'love and belonging']",['Trust'],['Pair Bonding'],['Friendliness']
3400,"You are an introverted person who highly values privacy and personal space. Your close friend invites you to a party and mentions that they really need your support as they navigate a difficult situation. Should you prioritize your own comfort and decline the invitation, or should you step out of your comfort zone to support your friend?",not to do,Decline the invitation,['self-esteem'],['Trust'],['Withdrawing'],[]
3512,"You've always been told that going to college is the key to success, but you deeply hate the idea of it. You've received a full scholarship to a prestigious university, but you're passionate about starting your own business, which doesn't require a degree. Do you accept the scholarship and go to college, or follow your passion and start your own business?",to do,Lisa helps her neighbor,"['self-esteem', 'self-actualization', 'safety']",['Trust'],['Grooming'],[]
3512,"You've always been told that going to college is the key to success, but you deeply hate the idea of it. You've received a full scholarship to a prestigious university, but you're passionate about starting your own business, which doesn't require a degree. Do you accept the scholarship and go to college, or follow your passion and start your own business?",not to do,Lisa continues her routine,"['self-esteem', 'safety']",['Fear'],['Grooming'],[]
3524,"You've recently come out as homosexual to your family and everyone has been supportive, except your older sibling who constantly asks you to defend your sexuality. They claim they just want to understand, but it feels like an attack and you're torn between defending yourself and maintaining peace. Should you confront your sibling about their offensive behavior or continue to avoid conflict for the sake of family harmony?",to do,Accepting the invitation,['love and belonging'],['Trust'],['Pair Bonding'],[]
3524,"You've recently come out as homosexual to your family and everyone has been supportive, except your older sibling who constantly asks you to defend your sexuality. They claim they just want to understand, but it feels like an attack and you're torn between defending yourself and maintaining peace. Should you confront your sibling about their offensive behavior or continue to avoid conflict for the sake of family harmony?",not to do,Rejecting the invitation,"['self-esteem', 'love and belonging']",['Trust'],['Stopping'],['Truthfulness']
3440,"You've been a devoted member of your church for many years. Recently, you've discovered the church has been secretly using a significant portion of donations for personal benefits of the leaders, instead of the church's community service programs. Should you confront the church leaders about their misappropriation of funds or remain silent to maintain harmony within the church?",to do,Confront the church leaders,"['self-esteem', 'love and belonging']",['Anger'],['Attacking'],"['Courage', 'Truthfulness']"
3440,"You've been a devoted member of your church for many years. Recently, you've discovered the church has been secretly using a significant portion of donations for personal benefits of the leaders, instead of the church's community service programs. Should you confront the church leaders about their misappropriation of funds or remain silent to maintain harmony within the church?",not to do,Remain silent,['love and belonging'],['Fear'],['Withdrawing'],[]
3429,"As a new high school student, you try to fit in and become friends with everyone. The popular group invites you to join them, but you don't like their arrogant and shallow behavior. Do you accept the invitation to increase your social status despite your personal feelings, or do you reject it and risk becoming an outcast?",to do,Accept the Scholarship,"['safety', 'self-actualization']",[],['Stopping'],[]
3429,"As a new high school student, you try to fit in and become friends with everyone. The popular group invites you to join them, but you don't like their arrogant and shallow behavior. Do you accept the invitation to increase your social status despite your personal feelings, or do you reject it and risk becoming an outcast?",not to do,Reject the Scholarship,['self-actualization'],[],['Escaping'],['Courage']
3418,"Lisa, a single mother, has a daily routine of going for a morning run to keep herself healthy and happy. However, her elderly neighbor has been struggling to look after her own health due to her limited mobility. Should Lisa alter her routine to help her neighbor, potentially sacrificing her own happiness and health?",to do,Confronting the sibling,"['self-esteem', 'safety']",['Anger'],['Attacking'],['Courage']
3418,"Lisa, a single mother, has a daily routine of going for a morning run to keep herself healthy and happy. However, her elderly neighbor has been struggling to look after her own health due to her limited mobility. Should Lisa alter her routine to help her neighbor, potentially sacrificing her own happiness and health?",not to do,Avoiding the conflict,['love and belonging'],['Fear'],['Withdrawing'],[]
3824,"You have been in a serious relationship with your partner for a couple of years. Lately, you've been feeling insecure because your partner insists on having protected sex, which makes you question their fidelity and commitment. Do you confront your partner about your insecurities and risk creating trust issues, or keep your feelings to yourself and hope for the best?",to do,Discussing concerns with the student's parents,['self-esteem'],['Trust'],['Examining'],['Ambition']
3824,"You have been in a serious relationship with your partner for a couple of years. Lately, you've been feeling insecure because your partner insists on having protected sex, which makes you question their fidelity and commitment. Do you confront your partner about your insecurities and risk creating trust issues, or keep your feelings to yourself and hope for the best?",not to do,Not discussing concerns with the student's parents,"['self-esteem', 'love and belonging']","['Anticipation', 'Trust']",['Stopping'],[]
3567,"You are a teacher, and you think one of your students is a brat due to their consistent disruptive behavior. You feel it's impacting the learning environment, but you don't want to label the child negatively and potentially impact their self-esteem. Should you discuss your concerns with the student's parents or not?",to do,Keeping the money,['self-esteem'],['Trust'],['Possessing'],[]
3567,"You are a teacher, and you think one of your students is a brat due to their consistent disruptive behavior. You feel it's impacting the learning environment, but you don't want to label the child negatively and potentially impact their self-esteem. Should you discuss your concerns with the student's parents or not?",not to do,Reporting to the police,"['self-esteem', 'safety']",['Trust'],['Examining'],[]
3631,A group of children are exploring an abandoned house in their neighborhood. They find a bag full of money and can't decide whether to keep it or inform the police. Should they keep the money for themselves or report the findings to the authorities?,to do,Introduce contemporary worship styles,"['self-actualization', 'self-esteem', 'love and belonging']",['Trust'],['Examining'],[]
3631,A group of children are exploring an abandoned house in their neighborhood. They find a bag full of money and can't decide whether to keep it or inform the police. Should they keep the money for themselves or report the findings to the authorities?,not to do,Maintain traditional worship practices,"['self-esteem', 'safety']",['Trust'],['Stopping'],[]
3811,"The church has been following the same traditional worship practices for many years. The new pastor wants to introduce contemporary worship styles which some members are resisting, arguing it disrespects their long-held traditions. Should the pastor continue pushing for the new worship styles despite resistance, or respect the congregation's traditional practices?",to do,Confronting Partner,"['self-esteem', 'love and belonging']","['Trust', 'Joy']",['Examining'],['Truthfulness']
3811,"The church has been following the same traditional worship practices for many years. The new pastor wants to introduce contemporary worship styles which some members are resisting, arguing it disrespects their long-held traditions. Should the pastor continue pushing for the new worship styles despite resistance, or respect the congregation's traditional practices?",not to do,Keeping Feelings to Yourself,"['love and belonging', 'self-esteem']","['Anticipation', 'Trust', 'Joy']",['Withdrawing'],[]
3839,"You are a student who values honesty and integrity. You find out your best friend has plagiarized their assignment from the internet to avoid failing the class. Do you report your friend's academic dishonesty to the professor, risking their academic standing, or stay silent to maintain your friendship?",to do,Report the Plagiarism,"['self-actualization', 'self-esteem']",['Trust'],['Examining'],[]
3839,"You are a student who values honesty and integrity. You find out your best friend has plagiarized their assignment from the internet to avoid failing the class. Do you report your friend's academic dishonesty to the professor, risking their academic standing, or stay silent to maintain your friendship?",not to do,Stay Silent,"['love and belonging', 'self-esteem']","['Trust', 'Disgust', 'Anticipation', 'Joy']",['Withdrawing'],[]
3868,"As a parent, you believe in teaching children responsibility by letting them experience natural consequences. However, your child has forgotten to bring their lunch to school and will go hungry for the day. Should you deliver their lunch or let them skip a meal to learn their lesson?",to do,Report John's behavior,"['self-actualization', 'self-esteem', 'safety', 'love and belonging']",['Trust'],['Stopping'],"['Truthfulness', 'Courage']"
3868,"As a parent, you believe in teaching children responsibility by letting them experience natural consequences. However, your child has forgotten to bring their lunch to school and will go hungry for the day. Should you deliver their lunch or let them skip a meal to learn their lesson?",not to do,Do not report John's behavior,"['love and belonging', 'self-esteem', 'safety']","['Trust', 'Joy']",['Withdrawing'],[]
3912,"You have a pet parrot that has free reign of your house. One day, it accidentally flies into the kitchen and lands on a hot stove, burning its feet before you can intervene. Should you restrict the parrot’s freedom and keep it caged to prevent future accidents, or allow it the freedom it's used to at the risk of more injuries?",to do,Delivering Lunch,"['love and belonging', 'safety', 'self-esteem']","['Trust', 'Joy']",['Pair Bonding'],[]
3912,"You have a pet parrot that has free reign of your house. One day, it accidentally flies into the kitchen and lands on a hot stove, burning its feet before you can intervene. Should you restrict the parrot’s freedom and keep it caged to prevent future accidents, or allow it the freedom it's used to at the risk of more injuries?",not to do,Not Delivering Lunch,"['love and belonging', 'self-esteem', 'safety']","['Joy', 'Trust']",['Stopping'],['Temperance']
3954,"John has been married to his wife for 10 years, but he has developed strong feelings for another woman. This woman reciprocates his feelings and they both believe they could build a better life together. Should John end his marriage, potentially hurting his wife, to pursue happiness with this other woman?",to do,Restrict parrot's freedom,['safety'],"['Trust', 'Joy']",['Stopping'],[]
3954,"John has been married to his wife for 10 years, but he has developed strong feelings for another woman. This woman reciprocates his feelings and they both believe they could build a better life together. Should John end his marriage, potentially hurting his wife, to pursue happiness with this other woman?",not to do,Keep parrot's freedom,"['safety', 'self-actualization']",['Trust'],['Examining'],[]
3867,"You are a close friend of John, who's been battling with alcoholism. One day, he confesses that he's been drinking and driving frequently. Do you report his dangerous behavior to the authorities, potentially risking your friendship, or do you respect his privacy and let him continue his reckless actions?",to do,Quitting His Job,"['love and belonging', 'self-esteem']",['Trust'],['Pair Bonding'],[]
3867,"You are a close friend of John, who's been battling with alcoholism. One day, he confesses that he's been drinking and driving frequently. Do you report his dangerous behavior to the authorities, potentially risking your friendship, or do you respect his privacy and let him continue his reckless actions?",not to do,Not Quitting His Job,"['safety', 'love and belonging']",['Fear'],['Pair Bonding'],[]
3929,"After getting married, Jake started a family with his wife and they had two children. Jake's demanding job requires him to work for long hours, leaving him with little time to spend with his family. Should Jake quit his job to spend more time with his family, even if that means struggling financially?",to do,End the marriage,"['self-esteem', 'self-actualization']",['Joy'],['Mating'],[]
3929,"After getting married, Jake started a family with his wife and they had two children. Jake's demanding job requires him to work for long hours, leaving him with little time to spend with his family. Should Jake quit his job to spend more time with his family, even if that means struggling financially?",not to do,Not to end the marriage,"['love and belonging', 'self-esteem', 'safety']",['Trust'],['Pair Bonding'],[]
3971,"John, an experienced camper, took his family on a camping trip in the wilderness. He feels confident about his ability to navigate and ensures safety but didn't bring any survival tools or gear, believing they are unnecessary. Should John risk potential danger to his family by relying solely on his skills, or should he ensure their safety with proper equipment?",to do,Rely solely on skills,"['self-esteem', 'safety', 'love and belonging']",['Trust'],['Examining'],[]
3971,"John, an experienced camper, took his family on a camping trip in the wilderness. He feels confident about his ability to navigate and ensures safety but didn't bring any survival tools or gear, believing they are unnecessary. Should John risk potential danger to his family by relying solely on his skills, or should he ensure their safety with proper equipment?",not to do,Not bring survival gear,"['self-esteem', 'love and belonging', 'safety']",['Trust'],['Stopping'],['Truthfulness']
3979,"You are a wildlife researcher studying nocturnal animals alone in the forest. Unexpectedly, you start hearing strange noises that don't match the usual sounds of nature you are familiar with, and feel a sense of danger. Should you investigate the noises possibly risking your life or ignore it potentially missing an important discovery?",to do,Investigating the noise,"['self-esteem', 'self-actualization']",['Anticipation'],['Examining'],[]
3979,"You are a wildlife researcher studying nocturnal animals alone in the forest. Unexpectedly, you start hearing strange noises that don't match the usual sounds of nature you are familiar with, and feel a sense of danger. Should you investigate the noises possibly risking your life or ignore it potentially missing an important discovery?",not to do,Ignoring the noise,"['self-esteem', 'safety']",['Surprise'],['Stopping'],['Temperance']
4017,"You're a scientist studying a rare species of bird in the wild. During your research, you realize that you must disturb their nests to get accurate data, which can potentially harm the birds or their offspring. Should you proceed with the research knowing it could harm the birds, or abandon the project to ensure their safety?",to do,John asks for more custody time.,"['self-esteem', 'safety', 'love and belonging']",['Trust'],['Pair Bonding'],[]
4017,"You're a scientist studying a rare species of bird in the wild. During your research, you realize that you must disturb their nests to get accurate data, which can potentially harm the birds or their offspring. Should you proceed with the research knowing it could harm the birds, or abandon the project to ensure their safety?",not to do,John does not ask for more custody time.,"['self-esteem', 'safety', 'love and belonging']",['Trust'],['Stopping'],['Temperance']
4066,You're a vegan and have been invited to a fancy omnivorous dinner party. The host has spent a lot of money and effort to prepare a meat dish that you're expected to try. Should you prioritize personal values and refuse to eat the dish or respect the host's effort and try it?,to do,Proceed with the Research,"['self-actualization', 'safety', 'self-esteem']",['Anticipation'],['Examining'],['Ambition']
4066,You're a vegan and have been invited to a fancy omnivorous dinner party. The host has spent a lot of money and effort to prepare a meat dish that you're expected to try. Should you prioritize personal values and refuse to eat the dish or respect the host's effort and try it?,not to do,Abandon the Project,"['physiological', 'safety', 'self-esteem']","['Fear', 'Trust']","['Withdrawing', 'Pair Bonding']",['Friendliness']
4011,"John and Mary, a divorced couple, share custody of their son, Tim. John loves spending time with his son and is considering asking for more custody time, even though this would mean Tim seeing less of Mary. Should John prioritize his desire for more time with Tim over ensuring that Tim has equal time with both parents?",to do,Eat the meat dish,['love and belonging'],['Trust'],['Examining'],[]
4011,"John and Mary, a divorced couple, share custody of their son, Tim. John loves spending time with his son and is considering asking for more custody time, even though this would mean Tim seeing less of Mary. Should John prioritize his desire for more time with Tim over ensuring that Tim has equal time with both parents?",not to do,Refuse to eat the meat dish,['self-actualization'],[],['Withdrawing'],['Truthfulness']
4087,You have been continuously bullied by a group of people in your school. You are tempted to respond rudely to them which goes against your belief of treating everyone with respect and kindness. Should you maintain your kindness and risk further bullying or respond rudely to defend yourself?,to do,Respond rudely,"['safety', 'self-esteem', 'love and belonging']",['Anger'],['Attacking'],['Courage']
